Date,RID,Group,Sex,Age,Days,Session,Weight_kg,Condition_day,Condition,EtOH,H2O,Phase,Batch
26/05/2023,156,Alc+Str,female,50,6,3,0.181,EtOH,24_hrs,112,124,Model,8
26/05/2023,157,Alc+Str,female,50,6,3,0.173,EtOH,24_hrs,119,124,Model,8
26/05/2023,158,Str,female,50,6,3,0.178,EtOH,24_hrs,110,124,Model,8
26/05/2023,159,Alc+Str,female,50,6,3,0.156,EtOH,24_hrs,112,106,Model,8
26/05/2023,160,Alc+Str,female,50,6,3,0.143,EtOH,24_hrs,122,102,Model,8
26/05/2023,161,Alc+Str,female,50,6,3,0.158,EtOH,24_hrs,115,129,Model,8
26/05/2023,162,Alc+Str,female,50,6,3,0.142,EtOH,24_hrs,119,124,Model,8
26/05/2023,164,Alc+Str,female,50,6,3,0.172,EtOH,24_hrs,112,109,Model,8
26/05/2023,166,Alc+Str,female,50,6,3,0.166,EtOH,24_hrs,103,123,Model,8
26/05/2023,167,Alc+Str,female,50,6,3,0.166,EtOH,24_hrs,108,117,Model,8
26/05/2023,168,Alc+Str,male,50,6,3,0.264,EtOH,24_hrs,100,127,Model,8
26/05/2023,169,Str,male,50,6,3,0.215,EtOH,24_hrs,125,32,Model,8
26/05/2023,170,Alc+Str,male,50,6,3,0.236,EtOH,24_hrs,119,84,Model,8
26/05/2023,172,Alc+Str,male,50,6,3,0.231,EtOH,24_hrs,114,118,Model,8
26/05/2023,173,Alc+Str,male,50,6,3,0.154,EtOH,24_hrs,120,77,Model,8
26/05/2023,174,Alc+Str,male,50,6,3,0.218,EtOH,24_hrs,106,122,Model,8
26/05/2023,175,Str,male,50,6,3,0.2,EtOH,24_hrs,125,102,Model,8
26/05/2023,176,Alc+Str,male,50,6,3,0.212,EtOH,24_hrs,108,100,Model,8
26/05/2023,177,Alc+Str,male,50,6,3,0.207,EtOH,24_hrs,113,109,Model,8
27/05/2023,156,Alc+Str,female,51,6,3,0.174,H2O,start,126,125,Model,8
27/05/2023,157,Alc+Str,female,51,6,3,0.163,H2O,start,124,126,Model,8
27/05/2023,158,Str,female,51,6,3,0.165,H2O,start,125,128,Model,8
27/05/2023,159,Alc+Str,female,51,6,3,0.158,H2O,start,129,125,Model,8
27/05/2023,160,Alc+Str,female,51,6,3,0.152,H2O,start,127,124,Model,8
27/05/2023,161,Alc+Str,female,51,6,3,0.164,H2O,start,126,124,Model,8
27/05/2023,162,Alc+Str,female,51,6,3,0.133,H2O,start,123,125,Model,8
27/05/2023,164,Alc+Str,female,51,6,3,0.175,H2O,start,125,125,Model,8
27/05/2023,166,Alc+Str,female,51,6,3,0.166,H2O,start,126,123,Model,8
27/05/2023,167,Alc+Str,female,51,6,3,0.163,H2O,start,124,125,Model,8
27/05/2023,168,Alc+Str,male,51,6,3,0.25,H2O,start,122,124,Model,8
27/05/2023,169,Str,male,51,6,3,0.213,H2O,start,124,123,Model,8
27/05/2023,170,Alc+Str,male,51,6,3,0.231,H2O,start,124,124,Model,8
27/05/2023,172,Alc+Str,male,51,6,3,0.237,H2O,start,124,126,Model,8
27/05/2023,173,Alc+Str,male,51,6,3,NA,H2O,start,124,125,Model,8
27/05/2023,174,Alc+Str,male,51,6,3,0.216,H2O,start,123,121,Model,8
27/05/2023,175,Str,male,51,6,3,0.201,H2O,start,124,124,Model,8
27/05/2023,176,Alc+Str,male,51,6,3,0.208,H2O,start,125,126,Model,8
27/05/2023,177,Alc+Str,male,51,6,3,0.221,H2O,start,125,124,Model,8
27/05/2023,156,Alc+Str,female,51,7,3,0.174,H2O,24_hrs,78,116,Model,8
27/05/2023,157,Alc+Str,female,51,7,3,0.163,H2O,24_hrs,120,65,Model,8
27/05/2023,158,Str,female,51,7,3,0.165,H2O,24_hrs,120,69,Model,8
27/05/2023,159,Alc+Str,female,51,7,3,0.158,H2O,24_hrs,80,125,Model,8
27/05/2023,160,Alc+Str,female,51,7,3,0.152,H2O,24_hrs,125,70,Model,8
27/05/2023,161,Alc+Str,female,51,7,3,0.164,H2O,24_hrs,125,63,Model,8
27/05/2023,162,Alc+Str,female,51,7,3,0.133,H2O,24_hrs,44,124,Model,8
27/05/2023,164,Alc+Str,female,51,7,3,0.175,H2O,24_hrs,122,68,Model,8
27/05/2023,166,Alc+Str,female,51,7,3,0.166,H2O,24_hrs,123,41,Model,8
27/05/2023,167,Alc+Str,female,51,7,3,0.163,H2O,24_hrs,121,110,Model,8
27/05/2023,168,Alc+Str,male,51,7,3,0.25,H2O,24_hrs,101,74,Model,8
27/05/2023,169,Str,male,51,7,3,0.213,H2O,24_hrs,123,37,Model,8
27/05/2023,170,Alc+Str,male,51,7,3,0.231,H2O,24_hrs,64,104,Model,8
27/05/2023,172,Alc+Str,male,51,7,3,0.237,H2O,24_hrs,36,124,Model,8
27/05/2023,173,Alc+Str,male,51,7,3,NA,H2O,24_hrs,44,122,Model,8
27/05/2023,174,Alc+Str,male,51,7,3,0.216,H2O,24_hrs,64,106,Model,8
27/05/2023,175,Str,male,51,7,3,0.201,H2O,24_hrs,83,102,Model,8
27/05/2023,176,Alc+Str,male,51,7,3,0.208,H2O,24_hrs,76,98,Model,8
27/05/2023,177,Alc+Str,male,51,7,3,0.221,H2O,24_hrs,50,124,Model,8
29/05/2023,156,Alc+Str,female,53,7,4,0.185,EtOH,start,121,125,Model,8
29/05/2023,157,Alc+Str,female,53,7,4,0.185,EtOH,start,121,126,Model,8
29/05/2023,158,Str,female,53,7,4,0.188,EtOH,start,124,128,Model,8
29/05/2023,159,Alc+Str,female,53,7,4,0.17,EtOH,start,121,124,Model,8
29/05/2023,160,Alc+Str,female,53,7,4,0.159,EtOH,start,119,125,Model,8
29/05/2023,161,Alc+Str,female,53,7,4,0.178,EtOH,start,119,124,Model,8
29/05/2023,162,Alc+Str,female,53,7,4,0.174,EtOH,start,119,125,Model,8
29/05/2023,164,Alc+Str,female,53,7,4,0.185,EtOH,start,118,125,Model,8
29/05/2023,166,Alc+Str,female,53,7,4,0.178,EtOH,start,118,123,Model,8
29/05/2023,167,Alc+Str,female,53,7,4,0.162,EtOH,start,119,123,Model,8
29/05/2023,168,Alc+Str,male,53,7,4,0.281,EtOH,start,119,125,Model,8
29/05/2023,169,Str,male,53,7,4,0.235,EtOH,start,124,123,Model,8
29/05/2023,170,Alc+Str,male,53,7,4,0.25,EtOH,start,121,119,Model,8
29/05/2023,172,Alc+Str,male,53,7,4,0.25,EtOH,start,123,126,Model,8
29/05/2023,173,Alc+Str,male,53,7,4,0.231,EtOH,start,119,124,Model,8
29/05/2023,174,Alc+Str,male,53,7,4,0.241,EtOH,start,118,124,Model,8
29/05/2023,175,Str,male,53,7,4,0.221,EtOH,start,124,125,Model,8
29/05/2023,176,Alc+Str,male,53,7,4,0.235,EtOH,start,123,123,Model,8
29/05/2023,177,Alc+Str,male,53,7,4,0.24,EtOH,start,121,124,Model,8
29/05/2023,156,Alc+Str,female,53,7,4,0.185,EtOH,30_mins,120,125,Model,8
