RID,Group,Sex,Age,Days,Session,Weight_kg,Condition_day,Condition,EtOH,H2O,Phase,Batch
99,Alc,female,50,5,3,0.208,EtOH,30_mins,121,123,Model,6
101,Alc,male,50,5,3,0.269,EtOH,30_mins,120,116,Model,6
102,Ctrl,male,50,5,3,0.218,EtOH,30_mins,119,112,Model,6
103,Alc,male,50,5,3,0.251,EtOH,30_mins,119,121,Model,6
105,Ctrl,male,50,5,3,0.257,EtOH,30_mins,116,111,Model,6
106,Ctrl,male,50,5,3,0.238,EtOH,30_mins,118,112,Model,6
107,Alc,male,50,5,3,0.22,EtOH,30_mins,121,120,Model,6
109,Ctrl,male,50,5,3,0.247,EtOH,30_mins,112,116,Model,6
110,Alc,male,50,5,3,0.221,EtOH,30_mins,120,114,Model,6
88,Alc,female,50,5,3,0.175,EtOH,24_hrs,121,85,Model,6
89,Ctrl,female,50,5,3,0.184,EtOH,24_hrs,93,116,Model,6
90,Ctrl,female,50,5,3,0.172,EtOH,24_hrs,114,76,Model,6
92,Ctrl,female,50,5,3,0.173,EtOH,24_hrs,57,127,Model,6
93,Ctrl,female,50,5,3,0.173,EtOH,24_hrs,81,118,Model,6
94,Alc,female,50,5,3,0.179,EtOH,24_hrs,116,93,Model,6
97,Alc,female,50,5,3,0.129,EtOH,24_hrs,116,117,Model,6
99,Alc,female,50,5,3,0.208,EtOH,24_hrs,120,80,Model,6
101,Alc,male,50,5,3,0.269,EtOH,24_hrs,106,94,Model,6
102,Ctrl,male,50,5,3,0.218,EtOH,24_hrs,117,79,Model,6
103,Alc,male,50,5,3,0.251,EtOH,24_hrs,110,78,Model,6
105,Ctrl,male,50,5,3,0.257,EtOH,24_hrs,115,50,Model,6
106,Ctrl,male,50,5,3,0.238,EtOH,24_hrs,118,77,Model,6
107,Alc,male,50,5,3,0.22,EtOH,24_hrs,114,87,Model,6
109,Ctrl,male,50,5,3,0.247,EtOH,24_hrs,110,76,Model,6
110,Alc,male,50,5,3,0.221,EtOH,24_hrs,117,77,Model,6
88,Alc,female,51,6,3,0.176,H2O,start,119,122,Model,6
89,Ctrl,female,51,6,3,0.192,H2O,start,120,120,Model,6
90,Ctrl,female,51,6,3,0.188,H2O,start,118,119,Model,6
92,Ctrl,female,51,6,3,0.194,H2O,start,117,120,Model,6
93,Ctrl,female,51,6,3,0.184,H2O,start,119,115,Model,6
94,Alc,female,51,6,3,0.189,H2O,start,120,117,Model,6
97,Alc,female,51,6,3,0.129,H2O,start,118,120,Model,6
99,Alc,female,51,6,3,0.216,H2O,start,117,121,Model,6
101,Alc,male,51,6,3,0.275,H2O,start,120,116,Model,6
102,Ctrl,male,51,6,3,0.224,H2O,start,118,119,Model,6
103,Alc,male,51,6,3,0.268,H2O,start,120,113,Model,6
105,Ctrl,male,51,6,3,0.266,H2O,start,115,116,Model,6
106,Ctrl,male,51,6,3,0.255,H2O,start,115,123,Model,6
107,Alc,male,51,6,3,0.226,H2O,start,118,122,Model,6
109,Ctrl,male,51,6,3,0.249,H2O,start,118,115,Model,6
110,Alc,male,51,6,3,0.252,H2O,start,113,123,Model,6
88,Alc,female,51,6,3,0.176,H2O,48_hrs,117,44,Model,6
89,Ctrl,female,51,6,3,0.192,H2O,48_hrs,60,116,Model,6
90,Ctrl,female,51,6,3,0.188,H2O,48_hrs,115,47,Model,6
92,Ctrl,female,51,6,3,0.194,H2O,48_hrs,70,111,Model,6
93,Ctrl,female,51,6,3,0.184,H2O,48_hrs,115,48,Model,6
94,Alc,female,51,6,3,0.189,H2O,48_hrs,77,91,Model,6
97,Alc,female,51,6,3,0.129,H2O,48_hrs,118,120,Model,6
99,Alc,female,51,6,3,0.216,H2O,48_hrs,33,118,Model,6
101,Alc,male,51,6,3,0.275,H2O,48_hrs,49,92,Model,6
102,Ctrl,male,51,6,3,0.224,H2O,48_hrs,117,38,Model,6
103,Alc,male,51,6,3,0.268,H2O,48_hrs,31,77,Model,6
105,Ctrl,male,51,6,3,0.266,H2O,48_hrs,31,61,Model,6
106,Ctrl,male,51,6,3,0.255,H2O,48_hrs,33,120,Model,6
107,Alc,male,51,6,3,0.226,H2O,48_hrs,88,63,Model,6
109,Ctrl,male,51,6,3,0.249,H2O,48_hrs,46,102,Model,6
110,Alc,male,51,6,3,0.252,H2O,48_hrs,93,49,Model,6
88,Alc,female,53,7,4,0.188,EtOH,start,122,127,Model,6
89,Ctrl,female,53,7,4,0.211,EtOH,start,126,123,Model,6
90,Ctrl,female,53,7,4,0.194,EtOH,start,126,125,Model,6
92,Ctrl,female,53,7,4,0.209,EtOH,start,124,127,Model,6
93,Ctrl,female,53,7,4,0.195,EtOH,start,123,124,Model,6
94,Alc,female,53,7,4,0.192,EtOH,start,123,124,Model,6
97,Alc,female,53,7,4,0.115,EtOH,start,122,124,Model,6
99,Alc,female,53,7,4,0.229,EtOH,start,123,128,Model,6
101,Alc,male,53,7,4,0.3,EtOH,start,125,124,Model,6
102,Ctrl,male,53,7,4,0.24,EtOH,start,125,124,Model,6
103,Alc,male,53,7,4,0.286,EtOH,start,123,123,Model,6
105,Ctrl,male,53,7,4,0.289,EtOH,start,124,124,Model,6
106,Ctrl,male,53,7,4,0.27,EtOH,start,124,125,Model,6
107,Alc,male,53,7,4,0.247,EtOH,start,122,125,Model,6
109,Ctrl,male,53,7,4,0.246,EtOH,start,125,124,Model,6
110,Alc,male,53,7,4,0.266,EtOH,start,121,123,Model,6
88,Alc,female,53,7,4,0.188,EtOH,30_mins,120,122,Model,6
89,Ctrl,female,53,7,4,0.211,EtOH,30_mins,125,121,Model,6
90,Ctrl,female,53,7,4,0.194,EtOH,30_mins,123,123,Model,6
92,Ctrl,female,53,7,4,0.209,EtOH,30_mins,122,125,Model,6
93,Ctrl,female,53,7,4,0.195,EtOH,30_mins,121,124,Model,6
94,Alc,female,53,7,4,0.192,EtOH,30_mins,123,124,Model,6
97,Alc,female,53,7,4,0.115,EtOH,30_mins,116,125,Model,6
99,Alc,female,53,7,4,0.229,EtOH,30_mins,123,117,Model,6
101,Alc,male,53,7,4,0.3,EtOH,30_mins,122,123,Model,6
102,Ctrl,male,53,7,4,0.24,EtOH,30_mins,122,122,Model,6
103,Alc,male,53,7,4,0.286,EtOH,30_mins,122,121,Model,6
105,Ctrl,male,53,7,4,0.289,EtOH,30_mins,112,122,Model,6
106,Ctrl,male,53,7,4,0.27,EtOH,30_mins,117,125,Model,6
